desi,name,ra,dec,z,zmag,zmagerr
DESI ,J095310.79+055532.6   ,148.29495,5.92574,5.38,20.42,0.02
DESI ,J095610.94+022626.3   ,149.04558,2.44066,4.65,21.3,0.03
DESI ,J100039.68+043751.6   ,150.16531,4.63101,4.8,20.94,0.03
DESI ,J100327.59+153810.8   ,150.86496,15.63634,5.0,21.26,0.04
DESI ,J100645.96-025653.6   ,151.6915,-2.94822,4.93,20.57,0.02
DESI ,J100720.18-001616.3   ,151.83408,-0.2712,4.97,20.46,0.02
DESI ,J100828.30-021229.8   ,152.11792,-2.2083,5.03,19.31,0.01
DESI ,J100844.40+104815.7   ,152.185,10.80436,5.18,20.58,0.02
DESI ,J101257.71-044117.5   ,153.24046,-4.6882,4.94,19.92,0.01
DESI ,J101503.23-044552.2   ,153.76346,-4.76452,4.83,19.92,0.02
DESI ,J102047.40+042946.8 b ,155.19749,4.49634,6.16,21.37,0.07
DESI ,J102204.62+063142.9   ,155.51927,6.52859,5.93,21.36,0.06
DESI ,J102701.79+374340.2   ,156.75745,37.72783,4.9,21.36,0.04
DESI ,J102813.43+380919.2   ,157.05594,38.15535,5.37,20.56,0.02
DESI ,J102828.51+111908.4   ,157.11877,11.31901,5.12,20.82,0.02
DESI ,J103031.14-023044.4   ,157.62975,-2.51235,4.92,20.98,0.03
DESI ,J103148.40+091253.4   ,157.95169,9.21485,5.98,20.98,0.03
DESI ,J103148.50+043653.8   ,157.95209,4.61496,4.96,20.65,0.02
DESI ,J103647.20+081734.3   ,159.19666,8.29287,5.05,20.84,0.03
DESI ,J104013.46+045951.9   ,160.05608,4.99777,5.39,20.11,0.01
DESI ,J104148.39+064721.5   ,160.45161,6.78931,4.87,20.94,0.03
DESI ,J104149.29+152109.3   ,160.45537,15.3526,5.42,21.0,0.03
DESI ,J104258.75+001643.8   ,160.74481,0.27884,4.99,20.37,0.01
DESI ,J104945.98+102346.9   ,162.44157,10.39638,5.0,20.47,0.02
DESI ,J105355.98-045305.5   ,163.48326,-4.88488,5.13,20.18,0.01
DESI ,J105639.21+053702.5   ,164.16338,5.61737,5.19,20.69,0.02
DESI ,J105730.95-050335.2   ,164.37895,-5.05978,4.92,21.14,0.03
DESI ,J105848.20-064335.3   ,164.70085,-6.72648,5.14,20.6,0.02
DESI ,J105941.06-035328.1   ,164.9211,-3.89116,5.07,20.91,0.02
DESI ,J110026.94+484929.1   ,165.11224,48.82475,5.2,20.74,0.02
DESI ,J110553.17+005934.1   ,166.47154,0.99282,5.12,21.29,0.03
DESI ,J110805.48+043446.5   ,167.02284,4.57961,5.16,20.5,0.02
DESI ,J110812.62+152123.2   ,167.05257,15.35646,4.95,21.22,0.03
DESI ,J111111.72+053625.7   ,167.79884,5.60716,5.24,20.53,0.02
DESI ,J111143.59-013743.8   ,167.93164,-1.62886,5.24,20.94,0.03
DESI ,J111501.77+513704.0   ,168.75739,51.6178,5.14,20.12,0.01
DESI ,J111545.83-002424.2   ,168.94096,-0.40672,4.94,21.23,0.04
DESI ,J111640.85+380410.2   ,169.17023,38.06952,5.09,20.87,0.03
DESI ,J111839.10+034326.0   ,169.66293,3.72389,4.88,21.16,0.04
DESI ,J112606.18+373338.9   ,171.52576,37.56081,4.87,21.34,0.03
DESI ,J112858.70-055045.8   ,172.24458,-5.84607,5.53,20.51,0.02
DESI ,J112903.54+023706.9   ,172.26476,2.6186,5.04,21.29,0.04
DESI ,J112912.44-001018.3   ,172.30182,-0.17176,4.89,21.35,0.05
DESI ,J113313.88+395337.7   ,173.30785,39.89382,4.75,20.83,0.02
DESI ,J114051.10+312915.9   ,175.21294,31.48777,5.07,21.25,0.03
DESI ,J114156.21+070320.0   ,175.48419,7.05558,4.97,21.04,0.03
DESI ,J114413.09+401101.5   ,176.05452,40.18375,5.01,21.39,0.03
DESI ,J114423.35+001117.7   ,176.09727,0.18826,4.98,21.39,0.06
DESI ,J114432.93-032530.4   ,176.13724,-3.42513,5.54,20.08,0.01
DESI ,J114651.41-073724.3   ,176.7142,-7.62344,5.04,20.75,0.02
DESI ,J115112.33+333632.9   ,177.80136,33.60916,6.02,21.47,0.06
DESI ,J115640.93+355528.8   ,179.17052,35.92469,4.88,20.99,0.02
DESI ,J115838.96-052226.3   ,179.66234,-5.37398,4.93,20.01,0.01
DESI ,J115936.82+060305.7   ,179.9034,6.0516,5.77,21.27,0.04
DESI ,J120031.52+450430.9   ,180.13133,45.07526,4.8,20.23,0.02
DESI ,J120747.52-065144.0   ,181.94798,-6.86222,4.85,20.83,0.02
DESI ,J120930.44-033101.3   ,182.37683,-3.51703,4.98,20.87,0.02
DESI ,J121101.75+161119.2   ,182.75731,16.18869,5.14,19.67,0.01
DESI ,J121320.21+364943.2   ,183.33421,36.82868,4.86,20.54,0.02
DESI ,J121557.76-010739.7   ,183.99065,-1.1277,5.09,20.43,0.02
DESI ,J121624.30-023236.3   ,184.10124,-2.54344,5.28,20.73,0.02
DESI ,J121706.69-041954.7   ,184.27788,-4.33188,4.92,21.14,0.02
DESI ,J122027.74+064301.8   ,185.11559,6.71719,5.37,20.4,0.02
DESI ,J122149.13+155752.1   ,185.4547,15.96449,4.75,20.81,0.03
DESI ,J122807.00+011216.6   ,187.02919,1.20463,5.13,19.96,0.01
DESI ,J122832.28+342334.5   ,187.13449,34.39293,4.82,21.0,0.03
DESI ,J123026.75+412840.3   ,187.61148,41.47787,6.27,20.53,0.01
DESI ,J123143.31-015029.1   ,187.93047,-1.84144,4.89,20.94,0.03
DESI ,J123315.99-030018.7   ,188.3166,-3.00522,4.78,21.31,0.04
DESI ,J123513.28+330931.9   ,188.80531,33.15888,4.9,21.07,0.03
DESI ,J123919.99+345130.7   ,189.83328,34.85855,4.97,20.08,0.01
DESI ,J124546.66+355448.5   ,191.44441,35.91348,5.15,20.88,0.02
DESI ,J124549.86+324818.1   ,191.45773,32.80503,4.97,21.08,0.04
DESI ,J124621.42-051804.9   ,191.58923,-5.30139,4.87,20.78,0.02
DESI ,J124651.09-003233.0   ,191.71289,-0.54252,4.63,21.31,0.04
DESI ,J125207.11+030848.4   ,193.02962,3.14678,4.96,20.75,0.02
DESI ,J125333.82+325207.4   ,193.39091,32.86874,5.02,20.98,0.02
DESI ,J125424.73+363932.3   ,193.60304,36.65898,5.82,21.46,0.04
DESI ,J125911.99-000811.4   ,194.79994,-0.1365,5.07,21.06,0.03
DESI ,J130743.20+442701.4   ,196.92998,44.4504,5.0,20.81,0.03
DESI ,J131237.33+263419.5   ,198.15553,26.5721,5.39,20.58,0.02
DESI ,J131557.22-020157.6   ,198.98843,-2.03267,4.88,21.28,0.03
DESI ,J131731.87+031432.6   ,199.38278,3.2424,4.76,21.31,0.04
DESI ,J132526.35+013041.5   ,201.35979,1.51153,4.77,20.63,0.02
DESI ,J134411.54+444653.5   ,206.0481,44.78154,4.93,20.8,0.02
DESI ,J134637.83+322118.9   ,206.65761,32.35527,4.7,21.26,0.04
DESI ,J134949.98+024537.6   ,207.45825,2.76046,5.05,19.83,0.01
DESI ,J135355.02+495100.2   ,208.47925,49.85006,5.03,19.95,0.01
DESI ,J140112.95-055747.2   ,210.30397,-5.96313,5.0,21.11,0.03
DESI ,J140258.02-062904.5   ,210.74178,-6.4846,6.49,21.43,0.04
DESI ,J140514.70+412521.4   ,211.31123,41.42263,5.17,20.12,0.01
DESI ,J140654.81+434025.8   ,211.72838,43.67384,5.05,21.27,0.04
DESI ,J140655.88+343437.8   ,211.73285,34.57717,4.89,19.83,0.01
